"cliente_nome","tipo_transacao_nome","tipo_transacao_valor"
"Susana Fragoso","Transferência",0.87
"Alzira Semedo","Transferência",1.61
"Diógenes Novaes","Transferência",1.73
"António Cysneiros","Transferência",1.82
"Tália Guedelha","Transferência",2.22
"Gaudêncio Valim","Transferência",2.51
"Benedita Portugal","Transferência",2.56
"Renan Grande","Transferência",3.06
"Casimiro Granjeia","Transferência",3.46
"Moisés Jardim","Transferência",3.65
"Célia Rufino","Transferência",3.97
"Lídia Meneses","Transferência",4.68
"Palmira Neiva","Transferência",5.21
"Alarico Tibiriçá","Transferência",5.33
"Valdeci Pirajá","Transferência",5.68
"Filena Blanco","Transferência",6.81
"Aniano Núñez","Transferência",7.09
"Alexandra Ramírez","Transferência",7.10
"Hugo Arouca","Transferência",7.70
"Quintiliano Peláez","Transferência",8.16
"Eurico Santos","Transferência",8.25
"Deolindo Azeredo","Transferência",9.04
"Hermenegildo Saraiva","Transferência",9.18
"Caetano Gentil","Transferência",10.11
"Natacha Vásquez","Transferência",10.69
"Laís Holanda","Transferência",10.96
"Ivete Pardo","Transferência",12.29
"Salomão Carijó","Transferência",12.32
"Eduarda Corvelo","Transferência",12.40
"Miriam Tévez","Transferência",12.66
"Quitéria Vilarim","Transferência",13.64
"Anita Alcaide","Transferência",13.87
"Roseli Salomão","Transferência",14.12
"Ubirajara Siqueira","Transferência",14.31
"Gilda Franca","Transferência",14.33
"Xavier Ornellas","Transferência",14.51
"Heloísa Pinhal","Transferência",15.18
"Mário Malta","Transferência",15.59
"Luísa Gonçalves","Transferência",15.63
"Leonir Cyrne","Transferência",16.36
"Ruca Boaventura","Transferência",16.61
"Zidane Faro","Transferência",18.49
"Marcos Lemes","Transferência",18.54
"Danilo Caminha","Transferência",18.71
"Luzia Rivas","Transferência",19.02
"Daniela Rijo","Transferência",19.17
"Camila Paranaguá","Transferência",19.29
"Armanda Malheiro","Transferência",19.75
"Estefânia Macieira","Transferência",20.21
"Gabriela Anjos","Transferência",20.52
"Gláuber Azenha","Transferência",20.58
"Pedro Castelo Branco","Transferência",21.02
"Odete Taborda","Transferência",21.29
"Timóteo Doutel","Transferência",21.47
"Emílio Barboza","Transferência",21.69
"Deolindo Motta","Transferência",21.93
"Selma Rúa","Transferência",21.98
"Geraldo Meneses","Transferência",22.56
"Selma Rúa","Transferência",22.94
"Astolfo Telles","Transferência",23.00
"Vasco Fuentes","Transferência",23.02
"Xisto Dornelles","Transferência",23.10
"Tarrataca Thomé","Transferência",23.25
"Astolfo Guedes","Transferência",23.96
